Date; Target(°C); Sensor(°C)
Jul 11 2025 12:08:05 PM; 24,487; 28,118
Jul 11 2025 12:08:06 PM; 24,528; 28,119
Jul 11 2025 12:08:07 PM; 24,413; 28,12
Jul 11 2025 12:08:08 PM; 24,322; 28,12
Jul 11 2025 12:08:09 PM; 24,304; 28,121
Jul 11 2025 12:08:10 PM; 24,301; 28,121
Jul 11 2025 12:08:11 PM; 24,49; 28,122
Jul 11 2025 12:08:12 PM; 24,346; 28,122
Jul 11 2025 12:08:13 PM; 24,384; 28,122
Jul 11 2025 12:08:14 PM; 24,454; 28,123
Jul 11 2025 12:08:15 PM; 24,382; 28,124
Jul 11 2025 12:08:16 PM; 24,354; 28,124
Jul 11 2025 12:08:17 PM; 24,455; 28,124
Jul 11 2025 12:08:18 PM; 24,54; 28,125
Jul 11 2025 12:08:19 PM; 24,588; 28,126
Jul 11 2025 12:08:20 PM; 24,539; 28,126
Jul 11 2025 12:08:21 PM; 24,495; 28,127
Jul 11 2025 12:08:22 PM; 24,392; 28,127
Jul 11 2025 12:08:23 PM; 24,308; 28,128
Jul 11 2025 12:08:24 PM; 24,393; 28,129
Jul 11 2025 12:08:25 PM; 24,253; 28,13
Jul 11 2025 12:08:26 PM; 24,354; 28,13
Jul 11 2025 12:08:27 PM; 24,304; 28,131
Jul 11 2025 12:08:28 PM; 24,406; 28,132
Jul 11 2025 12:08:29 PM; 24,429; 28,133
Jul 11 2025 12:08:30 PM; 24,524; 28,134
Jul 11 2025 12:08:31 PM; 24,531; 28,134
Jul 11 2025 12:08:32 PM; 24,529; 28,136
